loan_amount,term,interest_rate,annual_income,debt_to_income,credit_score,employment_length,purpose,delinq_2yrs,revol_util,default
9311,36,23.27,68456,18.4,570,12,car,0,84.04,0
18214,60,16.63,120167,33.76,786,15,car,1,70.13,0
15098,36,6.5,102035,28.08,471,13,home,3,78.9,0
29251,36,19.06,28016,32.87,573,10,other,1,35.1,0
38945,60,28.94,22384,14.52,558,9,home,2,40.47,0
48030,60,9.38,166144,29.23,434,5,car,1,39.37,0
26945,36,22.25,122239,14.24,721,3,home,1,19.19,0
26316,60,10.02,131431,37.87,720,0,other,4,6.12,0
33217,36,18.4,100018,27.27,485,6,credit_card,2,59.09,0
9308,36,7.42,60510,16.36,663,8,home,0,98.92,0
6949,36,16.26,41826,14.43,677,7,home,1,16.68,0
2150,36,23.9,88026,11.68,822,4,car,0,4.67,0
24944,36,13.69,141668,29.31,495,18,credit_card,2,77.95,0
35699,60,21.62,176590,12.66,397,9,small_business,1,25.26,0
10204,36,24.89,44045,25.84,321,10,small_business,4,82.96,1
2081,36,28.18,110102,14.26,749,14,medical,3,70.39,0
30305,60,10.87,71919,28.17,471,5,home,4,94.57,0
17896,36,14.98,119441,33.52,682,14,home,4,40.89,0
47175,60,8.81,178175,32.23,433,4,credit_card,3,66.2,0
8805,60,29.81,187260,31.63,725,18,other,3,46.49,0
6237,60,28.18,156917,11.57,324,18,small_business,3,63.06,0
21056,36,18.5,187746,8.09,802,9,medical,1,44.96,0
46543,36,26.05,138325,29.46,484,11,credit_card,0,18.86,1
46952,36,18.02,39337,17.89,384,3,home,0,50.79,0
4343,60,20.59,173385,20.13,443,17,small_business,3,52.86,0
14500,36,7.23,178015,6.09,711,15,medical,4,81.06,0
30375,60,23.88,97949,14.09,523,7,car,2,73.55,0
10662,36,8.19,20276,6.18,519,3,small_business,3,66.38,0
17964,60,25.65,71151,35.77,478,11,medical,4,11.34,1
48893,36,24.55,168683,13.52,732,1,credit_card,4,72.06,0
9130,36,22.72,163016,24.51,564,3,car,1,50.03,0
20531,36,5.9,72887,6.36,728,4,medical,1,89.41,0
2679,60,12.58,101442,28.34,715,2,medical,0,91.99,0
4506,60,11.58,69847,16.31,752,8,home,0,5.52,0
14284,36,14.0,78653,36.43,496,17,other,2,82.06,0
8253,36,7.19,76622,36.08,352,10,small_business,2,3.77,0
20128,60,28.42,47810,16.39,779,2,home,2,36.72,0
28932,60,18.85,97842,36.53,742,1,car,2,54.23,0
10435,60,12.64,142225,39.87,629,8,other,4,14.81,0
45078,36,14.92,30503,33.89,550,13,medical,4,74.63,0
14296,60,16.18,104761,34.57,422,3,home,0,0.84,0
31445,36,20.01,188048,13.72,686,8,other,1,16.86,0
14245,60,17.89,146439,25.18,638,12,small_business,1,58.08,0
30124,36,27.98,31590,7.35,647,17,car,3,71.44,0
30899,60,17.42,161958,8.32,328,14,credit_card,4,91.66,0
44919,60,29.8,163938,39.96,334,9,home,2,70.55,1
44225,60,26.29,86624,16.43,817,15,car,2,67.18,0
36247,60,10.21,183864,31.19,695,11,credit_card,3,39.43,0
30222,60,28.26,160836,33.23,593,19,home,1,0.13,1
27211,36,7.91,140356,35.03,648,4,car,2,12.02,0
38220,60,25.44,62727,39.92,446,1,car,1,53.46,1
27646,60,14.52,98471,13.45,366,9,other,3,67.51,0
39649,60,26.95,28068,6.41,819,0,home,1,41.74,0
24049,36,26.7,136923,19.39,421,6,car,1,73.07,0
15069,60,25.15,158367,9.55,639,16,medical,1,52.19,0
33580,36,24.75,192232,5.78,474,15,home,2,7.42,0
32843,60,12.62,31390,17.61,750,2,car,0,19.2,0
3849,60,7.02,126752,32.43,435,13,other,4,84.0,0
41158,36,15.07,171203,24.82,315,9,credit_card,1,72.49,0
24289,60,9.34,114754,15.95,632,6,credit_card,1,89.48,0
45690,36,22.37,95969,27.9,494,16,medical,1,11.76,1
36257,36,13.65,166110,13.12,795,5,home,0,99.02,0
10823,60,29.39,97064,5.5,308,3,other,3,20.94,0
42975,36,21.02,41281,31.75,633,16,car,2,1.18,0
10540,60,25.56,74189,26.83,632,8,car,0,99.74,0
17364,60,8.31,68511,31.68,626,3,credit_card,1,28.11,0
5611,36,26.55,142115,6.36,314,6,other,0,66.8,0
28663,36,28.07,28605,34.3,525,1,medical,0,17.67,1
39646,36,17.18,120318,26.68,724,16,credit_card,0,58.02,0
31977,36,20.16,152453,24.72,707,7,credit_card,3,90.4,0
30168,60,24.12,39810,26.86,412,14,medical,4,32.02,1
26471,60,9.37,175394,35.26,727,14,home,2,67.03,0
23687,36,17.56,61869,25.54,300,7,car,3,18.79,0
1851,60,14.97,52955,25.33,565,15,home,3,62.48,0
19071,60,8.66,81388,39.67,790,18,other,4,33.65,0
7833,60,14.19,30207,31.49,507,10,small_business,3,21.12,0
12938,60,6.7,179292,20.48,668,1,small_business,0,31.32,0
36195,36,5.65,42031,29.76,605,16,small_business,0,17.88,0
27144,36,8.38,100807,18.62,311,15,medical,1,90.19,0
5000,60,29.08,91312,13.01,644,14,credit_card,3,39.72,0
6052,36,18.74,79766,25.89,764,12,home,1,24.53,0
36506,36,29.15,163521,37.49,793,14,car,2,44.84,0
29074,36,15.81,109833,37.52,667,3,small_business,0,32.05,0
39155,60,12.8,131041,16.97,719,15,home,2,74.44,0
41770,60,17.65,136185,23.47,470,11,small_business,4,97.12,0
33320,60,15.99,197164,12.41,433,3,small_business,0,43.8,0
39304,36,7.64,30350,39.85,726,2,car,2,86.1,0
47247,60,21.02,120859,39.34,324,16,other,4,56.59,1
4913,60,10.4,88487,27.73,829,17,other,2,15.72,0
18450,36,20.49,168694,33.15,489,17,other,4,69.06,1
25107,60,21.26,143853,30.03,440,16,medical,4,51.34,1
21764,60,8.8,73117,25.76,614,11,credit_card,0,65.06,0
44404,36,6.53,121084,6.87,743,3,medical,1,88.97,0
21491,36,24.52,43782,20.92,618,11,home,4,44.04,0
39494,36,16.5,48454,28.62,740,19,medical,4,90.12,0
4373,60,6.45,87904,28.71,391,14,home,0,75.07,0
13161,60,29.87,149936,18.06,478,15,home,1,48.86,0
32996,60,6.44,166664,37.96,355,4,credit_card,3,60.32,0
28122,36,22.38,173245,10.86,454,14,car,3,32.56,0
35850,36,29.59,184276,22.51,410,16,credit_card,1,98.36,0
28350,60,10.98,186668,29.18,436,17,other,2,66.74,0
28472,60,8.56,185396,29.4,531,4,other,0,4.38,0
29761,36,8.03,142258,27.7,767,12,medical,1,32.66,0
26351,36,12.58,131668,14.64,780,18,home,3,62.33,0
24132,36,7.53,144184,10.47,367,12,small_business,4,5.63,0
16305,36,22.3,181822,27.26,548,17,small_business,3,2.39,1
10817,60,6.56,36566,25.98,622,13,home,4,45.0,0
12261,36,17.74,158262,11.28,817,3,credit_card,0,33.27,0
1417,60,29.92,58333,29.68,731,3,car,4,43.83,0
42576,60,25.35,141929,20.93,786,19,credit_card,1,26.27,0
21358,60,20.38,109571,28.37,728,19,home,4,16.47,0
4267,36,12.66,140263,34.31,568,18,home,2,68.91,0
18209,36,20.6,152661,10.94,836,12,car,1,51.46,0
25052,36,18.18,45235,5.67,447,11,medical,0,20.02,0
39513,36,15.65,20159,32.27,417,6,medical,1,31.96,0
27092,60,8.27,163217,26.34,666,11,car,2,59.18,0
12338,36,27.17,182993,29.49,365,3,medical,0,7.22,1
1412,36,16.24,124859,34.34,669,1,small_business,3,14.75,0
8543,60,9.87,167309,33.1,474,1,medical,2,7.32,0
41355,36,14.19,127507,38.63,794,4,medical,0,81.23,0
34496,60,15.35,159316,23.76,413,9,medical,4,75.24,0
24548,60,25.69,34743,22.1,410,9,small_business,1,75.33,0
28384,60,23.34,66101,19.07,738,8,medical,0,71.63,0
45425,60,24.23,141534,10.38,446,12,other,1,66.94,0
39756,60,5.28,104227,25.04,334,6,small_business,4,47.7,0
19888,60,15.4,91126,14.7,608,4,car,0,64.23,0
36735,60,17.03,76071,37.25,837,9,credit_card,3,3.84,0
48295,60,5.48,94763,25.41,313,9,car,2,62.15,0
49816,36,11.5,163309,25.75,673,5,credit_card,0,77.79,0
18506,36,24.01,166721,17.42,727,18,car,4,50.04,0
21463,36,8.43,188785,6.82,532,7,other,0,35.75,0
18955,36,18.38,196481,6.11,739,0,credit_card,1,27.74,0
38841,60,10.38,199838,19.82,801,16,credit_card,0,64.28,0
6104,36,5.3,66154,7.96,574,6,home,3,69.28,0
35911,60,11.03,27016,26.24,375,13,credit_card,0,87.1,0
24190,36,29.4,199760,35.83,738,16,credit_card,2,34.23,0
8357,36,25.04,109678,35.9,588,8,home,0,76.98,1
33479,36,28.99,132056,28.07,839,16,medical,1,56.14,0
45811,60,17.2,74238,12.39,552,4,medical,0,88.28,0
37208,36,7.74,78608,35.2,425,19,home,3,52.78,0
21150,60,18.7,109081,36.01,476,7,small_business,4,51.76,0
6644,60,16.36,182969,11.88,336,5,credit_card,0,57.79,0
44286,36,26.11,70961,30.81,709,10,credit_card,0,74.93,0
48320,36,7.45,195829,15.03,426,18,home,2,96.47,0
3914,36,17.21,46917,33.09,782,3,home,3,7.36,0
22352,60,8.75,173808,39.9,467,17,small_business,4,5.34,0
47352,36,13.12,47990,6.05,593,0,other,1,93.76,0
45912,60,23.43,82551,36.41,642,12,medical,0,52.99,0
15397,60,16.9,173512,26.79,609,13,car,4,61.49,0
42555,36,14.4,186277,39.07,827,0,other,1,48.24,0
47959,36,14.86,100811,21.28,839,10,medical,3,9.37,0
1728,60,16.49,75103,34.66,718,16,credit_card,3,76.81,0
1698,60,24.63,192699,7.18,743,3,other,4,74.72,0
40954,60,27.3,126122,16.73,535,11,home,1,31.17,0
48280,36,28.88,39008,7.35,738,9,small_business,3,30.62,0
14923,60,24.67,52402,39.14,513,5,medical,4,83.78,1
17779,36,12.89,156865,33.59,384,0,small_business,3,7.24,0
8400,60,22.2,156643,34.84,384,6,medical,3,88.11,1
25466,60,15.94,167281,37.83,788,15,other,3,25.67,0
37939,36,11.37,133550,7.98,364,13,credit_card,2,59.3,0
5360,60,26.02,194220,18.5,363,19,car,1,93.6,0
36270,36,5.96,111218,7.49,642,19,small_business,4,67.81,0
18101,36,27.54,153296,12.38,651,5,small_business,4,41.44,0
33307,60,16.54,199767,13.03,457,4,car,1,68.95,0
6486,36,20.93,140779,21.42,790,17,small_business,1,34.4,0
9335,36,21.48,149714,14.4,762,14,small_business,1,27.73,0
22364,60,27.38,52441,8.53,524,5,medical,1,99.67,0
38259,36,20.92,190201,10.86,612,18,medical,0,75.08,0
24576,36,20.35,82368,10.15,765,0,car,4,64.47,0
32667,36,6.67,112122,39.06,387,0,credit_card,0,35.53,0
12130,60,17.96,64760,31.58,602,12,other,3,4.92,0
22972,36,8.75,43478,38.87,734,2,other,3,3.11,0
41419,60,23.44,147881,20.39,434,9,small_business,4,55.42,0
2167,60,17.81,91854,14.74,349,2,credit_card,3,76.2,0
28192,36,22.01,114230,32.94,731,8,car,1,53.74,0
2062,36,6.04,105716,16.42,639,7,car,0,84.08,0
19540,36,7.12,163252,15.48,646,2,medical,1,3.34,0
25244,60,22.91,118538,13.14,646,12,small_business,3,36.68,0
22545,36,6.8,35372,9.54,544,5,home,0,23.71,0
22689,36,6.78,49796,13.98,408,12,car,1,44.73,0
12174,36,5.3,118826,17.44,832,19,small_business,4,7.24,0
23925,36,28.91,140592,28.59,389,19,credit_card,1,95.41,1
38497,36,23.44,113635,7.19,595,11,medical,3,22.33,0
10348,60,13.83,131022,12.37,411,12,other,0,92.23,0
24714,60,12.41,74040,33.32,476,1,credit_card,4,42.59,0
39102,36,13.74,95357,10.14,642,15,car,0,98.55,0
9924,36,24.37,98356,16.99,400,5,car,4,55.41,0
38098,36,21.53,36211,35.26,700,18,credit_card,0,93.08,0
25394,36,9.63,125426,10.42,327,12,car,3,0.53,0
7801,60,9.35,25842,7.9,836,16,small_business,4,74.82,0
38614,36,7.46,86852,21.96,357,8,car,2,90.31,0
7731,60,21.51,145737,15.58,797,16,medical,0,13.97,0
49136,60,24.11,65968,24.72,596,1,small_business,0,9.61,0
24625,36,11.63,37508,33.13,433,18,home,1,42.46,0
18337,60,5.52,173077,9.8,630,18,car,4,93.37,0
36307,60,7.05,74575,25.32,548,6,car,2,54.24,0
8056,60,29.2,170043,22.69,849,9,medical,3,52.75,0
12516,60,12.39,176671,10.04,374,9,medical,1,14.11,0
45261,36,24.23,86914,26.84,467,19,other,2,0.08,1
2542,36,20.62,87055,14.58,802,8,credit_card,4,81.01,0
22677,60,14.55,107697,22.07,654,16,credit_card,2,8.76,0
47732,36,10.14,126239,7.88,524,14,credit_card,0,63.38,0
40081,36,8.03,143106,21.09,830,1,medical,0,91.46,0
28569,36,20.38,25355,15.73,445,3,credit_card,1,20.87,0
24322,36,24.37,74120,33.78,540,18,credit_card,4,66.53,1
20065,36,21.1,58342,6.99,643,16,home,4,7.87,0
18924,60,18.26,22257,19.65,334,4,credit_card,2,60.38,0
23556,36,6.05,47364,21.05,300,6,car,1,16.39,0
27962,36,29.21,176044,30.38,452,17,other,4,73.6,1
29295,36,24.97,131715,25.1,728,6,medical,0,30.12,0
14807,36,12.32,46654,28.35,807,16,small_business,2,46.34,0
43348,60,29.5,101423,32.2,425,6,other,3,59.94,1
27432,60,20.05,49320,35.18,790,3,home,0,17.13,0
18749,60,19.56,40808,15.99,781,7,medical,1,74.16,0
42459,60,23.7,72389,23.83,644,12,medical,4,30.26,0
27256,36,25.29,138581,34.4,520,3,car,0,66.24,1
41262,60,21.41,147927,39.63,324,5,other,3,15.83,1
38080,36,8.2,54773,36.13,827,4,other,3,68.81,0
2324,36,13.46,178819,18.0,481,11,credit_card,1,12.82,0
26731,36,28.2,96396,11.83,798,3,car,0,42.54,0
36909,36,10.62,127692,22.13,341,8,credit_card,2,24.72,0
24803,36,14.3,77505,30.96,780,3,credit_card,0,74.84,0
20870,60,15.8,105896,22.24,738,18,medical,3,26.2,0
35578,60,15.99,38135,21.91,701,13,other,1,88.17,0
7588,60,20.32,110887,34.34,845,4,credit_card,1,89.18,0
39069,60,28.58,142118,17.65,644,17,home,2,19.64,0
27790,36,11.02,67377,35.09,344,9,home,1,61.38,0
26289,60,8.04,174626,19.24,320,18,other,1,8.77,0
29178,36,9.94,82491,16.49,369,11,home,1,39.15,0
29710,60,27.17,78283,20.89,347,17,medical,1,71.33,0
16485,36,21.15,36923,31.69,790,16,car,1,65.94,0
45482,36,12.15,67591,9.41,586,10,small_business,3,62.47,0
21652,60,25.4,82261,11.87,309,2,credit_card,0,28.25,0
5748,36,26.53,74336,38.3,841,16,small_business,4,37.8,0
22233,36,26.16,94083,11.14,573,0,car,1,10.29,0
10435,60,27.97,80948,24.87,680,14,car,4,71.9,0
4709,36,11.31,184074,25.28,628,8,medical,4,50.39,0
31355,60,23.88,46672,22.14,778,14,home,3,70.88,0
14116,60,16.51,24213,27.57,314,2,home,1,24.89,0
26470,60,26.05,161365,13.04,815,18,car,4,32.44,0
43344,36,23.21,82507,24.34,490,12,medical,1,33.42,0
43918,36,24.41,77134,18.03,467,11,medical,2,2.57,0
40298,36,21.4,153172,28.16,820,19,other,2,34.1,0
43956,60,9.44,48172,9.94,436,0,credit_card,2,80.33,0
15683,36,18.63,40132,24.98,453,16,home,4,89.73,0
1504,60,29.62,38199,11.48,687,12,car,2,51.82,0
34982,60,28.43,56609,14.75,508,0,other,3,45.55,0
35299,36,6.08,194037,12.65,571,9,small_business,3,3.08,0
29016,60,9.12,159088,11.4,442,14,home,4,87.92,0
24960,36,8.29,190851,33.9,368,6,credit_card,1,1.3,0
34591,36,23.15,51881,15.0,546,17,medical,0,94.48,0
18312,36,25.44,44472,37.45,560,15,car,1,48.92,1
38797,36,10.34,187093,38.95,378,13,home,1,34.19,0
47196,36,17.65,74131,24.99,824,17,small_business,1,92.42,0
3105,60,26.02,175159,10.01,629,6,credit_card,1,2.44,0
37395,60,23.32,32828,18.11,488,16,credit_card,0,58.14,0
46740,60,18.56,116664,32.92,394,17,other,2,54.89,0
23700,36,19.76,152473,17.86,307,11,home,1,21.93,0
35620,36,17.71,35193,8.05,366,7,small_business,3,42.89,0
38678,36,12.44,195936,24.49,795,1,credit_card,4,65.23,0
21559,60,19.13,171379,34.58,490,6,car,4,72.71,0
28509,36,22.22,122518,32.86,665,3,credit_card,3,0.07,0
28860,60,26.83,39611,11.13,820,17,small_business,1,93.69,0
12003,60,20.91,194863,28.55,416,5,medical,0,16.45,1
22732,36,24.03,163022,12.72,566,8,medical,2,23.36,0
26826,36,9.0,96240,12.64,784,8,other,4,26.35,0
31354,60,16.54,22745,35.59,808,13,home,2,3.78,0
14843,36,5.23,75243,13.74,597,7,small_business,0,12.31,0
45472,60,11.17,23866,14.21,463,18,other,4,98.63,0
49529,36,23.16,183317,5.02,675,2,credit_card,2,31.52,0
7190,36,29.8,195796,35.47,567,17,credit_card,0,11.53,1
18640,60,7.48,148681,32.74,848,4,medical,2,10.7,0
39413,36,15.04,91354,26.96,373,13,other,1,71.95,0
43356,60,25.0,71374,31.26,807,3,medical,0,85.46,0
45597,36,10.1,134397,10.32,372,6,car,2,25.7,0
41821,60,18.88,144577,21.04,607,19,medical,1,2.09,0
4330,60,23.33,181188,17.29,498,11,car,1,22.31,0
20087,36,20.4,101029,8.28,429,1,credit_card,0,5.65,0
42430,60,9.7,113574,22.01,786,10,other,3,10.34,0
25504,36,13.88,171519,37.23,450,13,car,4,43.15,0
8114,36,24.59,50431,6.4,505,15,other,0,22.99,0
14323,36,18.86,168980,15.2,478,19,other,1,51.59,0
35121,60,5.13,49336,12.26,496,5,car,1,25.35,0
11975,60,24.02,60992,13.34,388,3,home,0,94.05,0
12023,36,5.88,75350,36.8,733,14,medical,3,90.59,0
22447,36,23.64,89561,21.38,482,0,car,4,56.68,0
25933,60,10.06,71955,21.32,508,6,credit_card,2,35.44,0
24959,36,28.95,81240,31.62,792,11,other,0,38.11,0
1667,36,14.2,171165,10.41,429,9,small_business,4,41.19,0
30703,60,13.17,157227,22.05,312,4,car,4,72.76,0
10337,36,8.72,66607,20.05,405,11,medical,1,45.16,0
47427,60,12.64,184559,25.89,674,17,other,2,85.67,0
37487,36,26.92,172035,39.98,398,9,home,0,94.41,1
20129,60,29.91,72870,31.93,491,5,credit_card,1,33.59,1
41251,36,14.21,84110,18.93,624,11,home,1,56.07,0
32921,36,16.22,172008,33.96,766,6,small_business,3,9.51,0
34307,60,23.05,136895,10.97,666,17,car,4,20.05,0
28355,36,27.15,24426,6.07,617,1,other,0,41.35,0
38732,60,19.83,47606,12.16,443,9,car,0,20.62,0
5835,36,14.79,198904,16.91,683,14,medical,0,87.66,0
21159,60,15.32,48151,22.87,515,11,car,1,15.83,0
39810,60,22.39,31308,26.53,660,16,credit_card,3,45.57,0
48605,60,5.08,196743,36.87,623,3,small_business,2,60.57,0
41080,60,20.49,110306,22.84,314,6,home,1,69.19,0
39088,36,13.89,126984,22.54,516,8,small_business,2,38.31,0
14216,36,24.85,22204,6.76,791,18,other,3,86.91,0
36547,60,7.32,112769,6.22,846,6,car,4,56.83,0
32471,60,19.71,107265,24.29,482,1,other,0,43.95,0
18308,60,17.02,51131,20.34,569,5,home,2,6.72,0
28532,36,21.06,72428,34.37,766,17,other,1,46.47,0
35349,36,6.62,53870,10.62,818,5,medical,2,82.07,0
46445,36,19.5,123547,5.87,841,12,small_business,4,61.45,0
6713,36,19.04,69067,20.72,766,18,home,0,83.22,0
5804,60,19.02,132217,13.31,604,1,home,2,49.4,0
11136,60,20.09,172679,6.74,443,11,home,4,11.85,0
1009,60,21.91,176040,30.36,410,14,credit_card,1,1.36,1
20255,36,25.12,118934,8.91,531,13,small_business,3,30.32,0
24793,36,11.75,162980,26.29,799,5,other,1,69.8,0
30548,36,25.63,177495,14.84,572,17,home,0,79.03,0
38892,60,17.46,94707,11.07,472,4,small_business,1,29.58,0
2015,60,6.93,81215,18.29,306,17,home,1,49.57,0
28712,36,6.46,69429,33.05,454,2,medical,1,42.11,0
35961,60,13.36,102152,18.72,821,2,medical,1,41.05,0
9415,36,24.62,128048,31.28,845,9,medical,0,23.13,0
47318,36,22.69,189530,9.39,847,18,car,4,13.64,0
48280,60,24.72,197241,32.05,817,2,home,2,19.67,0
24833,36,17.93,158731,13.29,514,11,car,3,5.53,0
5158,60,16.0,97240,28.71,433,15,small_business,2,19.81,0
21309,36,8.69,183865,24.8,584,16,car,2,0.92,0
7970,60,13.2,133688,37.52,425,6,small_business,3,62.73,0
7938,60,15.85,66473,18.56,738,12,small_business,0,31.64,0
22168,60,7.22,116762,7.32,451,1,small_business,3,97.31,0
47540,36,10.52,126956,5.67,630,3,other,0,19.37,0
21384,36,19.96,138452,33.94,837,9,car,2,34.58,0
19017,60,23.39,146311,23.37,682,6,other,0,35.78,0
11344,60,29.96,27006,32.13,414,16,home,4,0.85,1
41034,36,28.33,94218,13.2,781,19,car,3,83.92,0
9702,36,21.06,184912,17.08,583,5,home,4,3.2,0
1384,36,15.53,52430,6.05,374,18,home,2,94.02,0
1404,60,20.9,43091,38.65,465,4,small_business,3,89.21,1
41943,36,24.64,184055,28.38,488,9,car,2,53.55,1
48926,36,7.96,43989,37.66,377,8,home,4,54.36,0
30189,60,15.25,95451,14.29,320,12,medical,2,65.38,0
13763,36,26.0,38990,26.4,483,18,home,3,38.71,1
19384,36,14.6,110270,28.75,521,5,medical,3,64.72,0
33606,36,19.3,100360,16.11,627,3,car,2,4.48,0
10860,60,19.69,56081,34.68,478,2,other,3,5.4,0
39757,60,9.61,162105,38.15,411,2,car,3,45.72,0
16106,60,14.06,128272,35.97,358,3,other,2,54.96,0
24574,60,13.36,36241,30.87,626,4,other,4,88.78,0
24524,60,5.65,144932,14.71,490,7,car,3,10.47,0
4636,60,5.6,25939,14.86,499,15,home,3,82.26,0
11916,60,25.79,133000,38.72,611,2,credit_card,3,21.0,0
5809,36,11.83,198634,5.36,334,11,home,3,39.41,0
33201,36,17.95,55063,30.06,678,7,home,2,31.66,0
14456,60,12.47,178117,29.72,686,12,small_business,4,40.02,0
49212,36,28.52,195841,26.79,536,3,small_business,4,15.05,1
39765,36,11.48,67118,39.65,818,13,home,0,50.36,0
35816,60,15.74,104703,15.92,582,13,medical,3,80.16,0
46106,36,26.82,172697,16.9,300,12,other,3,44.15,0
18100,36,26.05,148557,7.76,763,5,small_business,0,49.06,0
22949,36,9.65,47076,20.5,529,16,home,4,84.88,0
5544,36,25.07,64605,14.14,471,3,credit_card,1,70.61,0
38744,36,16.45,104565,17.02,386,7,medical,1,49.05,0
46543,60,17.07,59121,34.21,422,16,car,4,25.77,0
43783,60,8.34,51433,37.74,597,2,home,3,88.49,0
27657,60,7.02,63309,11.5,783,16,home,1,57.7,0
37187,36,23.2,87468,18.04,464,8,other,2,22.11,0
48198,60,17.41,195326,37.5,682,1,medical,2,26.91,0
8239,36,15.92,87293,7.16,508,12,small_business,0,80.31,0
15489,36,23.24,116258,8.23,731,19,small_business,4,4.41,0
44125,36,24.14,188925,10.7,688,1,small_business,4,99.21,0
29538,36,8.97,58405,25.83,523,19,car,1,13.04,0
33049,60,20.26,63527,10.27,302,10,medical,3,79.61,0
38131,60,8.38,97227,38.88,671,14,medical,4,39.48,0
43944,36,23.78,151564,20.64,745,10,small_business,1,49.22,0
9427,60,21.42,159883,22.55,415,2,small_business,1,88.07,0
42348,36,28.92,113344,13.63,569,2,other,4,41.29,0
25285,60,6.72,175344,21.48,746,11,credit_card,1,53.75,0
38626,60,6.43,67153,28.17,667,4,credit_card,0,4.93,0
43808,36,12.05,128042,31.29,552,19,home,0,0.23,0
23928,60,11.54,74110,31.39,616,6,home,4,24.48,0
20198,36,11.17,165051,25.23,714,6,medical,3,68.06,0
20758,60,27.66,48328,36.65,394,12,medical,0,12.13,1
16254,36,11.24,132911,33.61,323,8,car,0,11.38,0
45238,36,11.8,32867,31.5,349,12,car,4,41.1,0
2252,60,23.98,79234,6.95,801,11,credit_card,2,64.78,0
40764,60,16.24,45851,5.24,797,12,home,1,71.21,0
13173,36,24.42,51279,12.44,634,9,credit_card,0,17.85,0
38441,60,6.63,93402,28.22,378,0,credit_card,2,7.96,0
27698,60,17.19,35449,19.39,326,7,home,3,94.04,0
16781,36,5.84,96221,19.08,570,15,car,2,26.07,0
14051,36,6.57,109080,35.96,546,12,other,4,85.33,0
40649,60,27.66,25451,36.34,686,2,other,3,86.35,0
7949,36,8.48,107178,36.82,660,2,other,3,77.25,0
43289,36,18.31,192388,15.99,787,4,home,2,16.88,0
9017,36,15.28,83761,29.19,651,10,small_business,4,82.18,0
7941,60,13.68,58870,14.51,555,6,small_business,0,76.93,0
26934,60,27.5,116566,11.67,521,9,small_business,2,59.67,0
24386,36,5.55,143749,11.46,300,9,medical,0,33.72,0
11209,60,21.59,143765,16.97,845,19,car,2,26.25,0
18715,36,29.08,144881,20.05,745,1,car,0,12.19,0
29920,60,19.0,181945,34.08,378,2,medical,2,50.98,0
32703,36,28.42,148389,9.2,535,7,credit_card,3,58.53,0
43318,36,6.31,45372,30.72,633,10,other,1,35.93,0
5637,60,15.47,23642,23.6,648,12,small_business,3,47.54,0
5854,36,11.5,179073,15.08,397,6,other,0,36.35,0
44088,60,23.27,54064,22.25,381,12,small_business,4,64.1,0
38660,60,29.53,34122,15.5,801,1,other,3,90.13,0
40811,36,11.41,175892,25.86,776,5,credit_card,1,16.39,0
20856,36,21.35,88431,20.18,849,8,other,0,38.14,0
22833,60,9.95,75745,10.75,313,19,other,3,14.09,0
20963,36,19.13,70081,9.08,691,1,home,2,62.49,0
37932,36,16.6,159783,24.13,646,17,other,4,72.89,0
28169,36,29.3,169865,36.58,609,15,home,0,93.19,0
8941,36,20.21,159271,17.04,685,11,car,3,27.89,0
15388,36,13.74,96253,30.66,508,6,medical,0,95.02,0
6569,60,7.85,56191,28.05,656,6,other,2,6.33,0
5300,60,8.78,30211,37.6,393,16,car,1,60.3,0
40037,36,10.63,131086,33.73,392,12,home,3,5.71,0
37586,36,11.27,172614,24.83,639,10,other,0,89.38,0
13015,36,26.27,182384,28.0,744,5,other,0,52.98,0
46002,60,19.03,196314,36.44,321,13,credit_card,0,66.93,0
7254,36,18.08,121971,18.98,590,5,car,1,83.16,0
18144,60,7.87,113783,16.44,784,5,small_business,0,15.03,0
25214,60,26.5,145681,5.38,605,1,small_business,4,3.86,0
41118,60,23.07,107893,33.93,427,19,credit_card,4,87.89,1
16183,36,6.69,178763,33.03,572,14,home,0,31.49,0
7238,60,22.7,97960,8.66,741,16,small_business,4,12.9,0
7090,36,18.59,104388,25.19,802,7,small_business,3,46.85,0
12637,60,7.04,42601,21.24,429,4,medical,4,59.83,0
23415,36,16.46,169092,9.15,431,16,car,0,3.1,0
25071,60,17.12,159227,39.32,781,19,home,2,27.49,0
46415,36,9.14,187849,12.51,689,0,other,3,3.28,0
43679,60,28.64,39710,7.35,624,17,car,1,42.03,0
42240,36,26.25,128714,25.82,368,14,home,0,89.51,1
19271,36,21.73,175604,30.86,747,4,small_business,1,98.27,0
37034,36,16.56,148727,6.14,827,6,medical,2,63.7,0
34434,36,15.29,169673,28.06,464,17,car,1,16.16,0
5188,60,21.27,83227,23.63,787,5,small_business,0,90.58,0
11161,60,18.64,156039,8.61,725,4,home,0,51.62,0
29732,36,6.56,104289,11.04,564,18,car,2,15.37,0
12314,60,17.81,171094,24.88,641,9,other,0,92.17,0
24954,36,25.16,194535,15.37,577,14,car,2,75.75,0
22508,36,16.48,25722,37.84,738,9,small_business,2,73.17,0
22969,60,6.3,178485,33.66,456,15,car,0,70.92,0
46659,36,24.66,101050,39.42,721,11,other,4,20.03,0
38545,36,10.03,103596,14.09,550,17,medical,2,21.1,0
37668,60,11.47,86732,38.94,829,0,medical,0,68.83,0
24061,36,9.12,163369,20.09,626,15,small_business,4,21.97,0
